time_window,id.orig_h,id.resp_h,ts_count,ts_min,ts_max,tid_nunique,unit_nunique,id.orig_p_nunique,duration,transaction_rate,iat_mean,iat_std,iat_min,iat_max
29376327,192.168.0.21,192.168.0.12,1800,1.76257962e+09,1.76257968e+09,598,1,1,59.50063515,30.0,0.033333547,0.124563632,0.0,0.500344992
29376328,192.168.0.11,192.168.0.12,2700,1.76257968e+09,1.76257974e+09,896,1,1,59.80053973,45.0,0.022222112,0.062598796,0.0,0.207489967
29376328,192.168.0.12,192.168.0.11,902,1.76257968e+09,1.76257974e+09,299,1,1,59.99934888,15.03333333,0.0667401,0.094202236,0.0,0.202057123
29376328,192.168.0.21,192.168.0.11,2880,1.76257968e+09,1.76257974e+09,950,1,1,59.50103188,48.0,0.020833162,0.099738138,0.0,0.499999046
29376328,192.168.0.21,192.168.0.12,1800,1.76257968e+09,1.76257974e+09,599,1,1,59.50047994,30.0,0.03333307,0.124579204,0.0,0.50047493
29376329,192.168.0.11,192.168.0.12,2700,1.76257974e+09,1.7625798e+09,891,1,1,59.80093217,45.0,0.022222122,0.062574155,0.0,0.200829268
29376329,192.168.0.12,192.168.0.11,898,1.76257974e+09,1.7625798e+09,300,1,1,59.80043411,14.96666667,0.066593177,0.09416245,0.0,0.200640202
29376329,192.168.0.21,192.168.0.11,2880,1.76257974e+09,1.7625798e+09,953,1,1,59.50018811,48.0,0.020833187,0.099742318,0.0,0.500185013
29376329,192.168.0.21,192.168.0.12,1800,1.76257974e+09,1.7625798e+09,599,1,1,59.50005674,30.0,0.033333071,0.12457897,0.0,0.500546694
29376214,192.168.0.11,192.168.0.12,2700,1.76257284e+09,1.7625729e+09,896,1,1,59.80038285,45.0,0.022221958,0.062594737,0.0,0.200754166
29376214,192.168.0.12,192.168.0.11,900,1.76257284e+09,1.7625729e+09,298,1,1,59.80015683,15.0,0.066666431,0.09417407,0.0,0.201318026
29376214,192.168.0.21,192.168.0.11,2880,1.76257284e+09,1.7625729e+09,955,1,1,59.50124192,48.0,0.020833793,0.099710868,0.0,0.500313759
29376214,192.168.0.21,192.168.0.12,1800,1.76257284e+09,1.7625729e+09,599,1,1,59.50075889,30.0,0.033334128,0.124565585,0.0,0.500770807
